,date,ML,Low,High
Castilla y León,2020-05-20,0.38,0.0,1.1400000000000001
Castilla y León,2020-05-21,0.38,0.0,1.2
Castilla y León,2020-05-22,0.46,0.0,1.33
Castilla y León,2020-05-23,0.66,0.0,1.53
Castilla y León,2020-05-24,0.71,0.0,1.6
Cataluña,2020-03-09,2.0,0.34,6.43
Cataluña,2020-03-10,1.8800000000000001,0.38,5.01
Cataluña,2020-03-11,2.17,0.51,4.99
Cataluña,2020-03-12,1.96,0.5,4.24
Cataluña,2020-03-13,2.08,0.58,4.09
Cataluña,2020-03-14,1.8900000000000001,0.54,3.62
Cataluña,2020-03-15,1.93,0.64,3.54
Cataluña,2020-03-16,2.09,0.36,3.6
Cataluña,2020-03-17,2.68,1.25,4.04
Cataluña,2020-03-18,2.62,1.47,3.75
Cataluña,2020-03-19,2.5100000000000002,1.54,3.42
Cataluña,2020-03-20,2.14,1.3,2.93
Cataluña,2020-03-21,2.2800000000000002,1.57,2.96
Cataluña,2020-03-22,2.23,1.61,2.8000000000000003
Cataluña,2020-03-23,2.13,1.62,2.66
Cataluña,2020-03-24,2.07,1.6300000000000001,2.54
Cataluña,2020-03-25,1.94,1.55,2.36
Cataluña,2020-03-26,1.77,1.4000000000000001,2.13
Cataluña,2020-03-27,1.7,1.36,2.0300000000000002
Cataluña,2020-03-28,1.62,1.31,1.93
Cataluña,2020-03-29,1.58,1.3,1.8800000000000001
Cataluña,2020-03-30,1.49,1.23,1.78
Cataluña,2020-03-31,1.34,1.08,1.6
Cataluña,2020-04-01,1.26,1.02,1.53
Cataluña,2020-04-02,1.25,1.0,1.49
Cataluña,2020-04-03,1.21,0.97,1.45
Cataluña,2020-04-04,1.09,0.86,1.33
Cataluña,2020-04-05,0.97,0.73,1.2
Cataluña,2020-04-06,0.9500000000000001,0.72,1.2
Cataluña,2020-04-07,0.9500000000000001,0.71,1.19
Cataluña,2020-04-08,0.91,0.68,1.17
Cataluña,2020-04-09,0.87,0.62,1.11
Cataluña,2020-04-10,0.86,0.61,1.11
Cataluña,2020-04-11,0.86,0.61,1.12
Cataluña,2020-04-12,0.98,0.73,1.24
Cataluña,2020-04-13,0.9500000000000001,0.7000000000000001,1.22
Cataluña,2020-04-14,0.98,0.73,1.25
Cataluña,2020-04-15,1.03,0.77,1.28
Cataluña,2020-04-16,1.03,0.77,1.28
Cataluña,2020-04-17,0.99,0.73,1.24
Cataluña,2020-04-18,1.04,0.79,1.3
Cataluña,2020-04-19,0.89,0.64,1.16
Cataluña,2020-04-20,0.86,0.61,1.1400000000000001
Cataluña,2020-04-21,0.79,0.52,1.06
Cataluña,2020-04-22,0.73,0.46,1.02
Cataluña,2020-04-23,0.75,0.47000000000000003,1.05
Cataluña,2020-04-24,0.81,0.52,1.11
Cataluña,2020-04-25,0.77,0.48,1.09
Cataluña,2020-04-26,0.89,0.6,1.22
Cataluña,2020-04-27,0.93,0.63,1.25
Cataluña,2020-04-28,1.02,0.72,1.34
Cataluña,2020-04-29,1.02,0.72,1.34
Cataluña,2020-04-30,0.98,0.68,1.3
Cataluña,2020-05-01,0.86,0.55,1.18
Cataluña,2020-05-02,0.8200000000000001,0.5,1.1400000000000001
Cataluña,2020-05-03,0.78,0.46,1.12
Cataluña,2020-05-04,0.76,0.43,1.11
Cataluña,2020-05-05,0.71,0.37,1.08
Cataluña,2020-05-06,0.68,0.3,1.03
Cataluña,2020-05-07,0.67,0.3,1.07
Cataluña,2020-05-08,0.74,0.34,1.1300000000000001
Cataluña,2020-05-09,0.8200000000000001,0.43,1.24
Cataluña,2020-05-10,0.86,0.45,1.27
Cataluña,2020-05-11,1.0,0.58,1.4000000000000001
Cataluña,2020-05-12,1.01,0.6,1.42
Cataluña,2020-05-13,1.08,0.68,1.5
Cataluña,2020-05-14,1.11,0.7000000000000001,1.5
Cataluña,2020-05-15,1.1,0.7000000000000001,1.49
Cataluña,2020-05-16,1.02,0.63,1.42
Cataluña,2020-05-17,0.96,0.5700000000000001,1.37
Cataluña,2020-05-18,0.67,0.27,1.1
Cataluña,2020-05-19,1.45,1.05,1.83
Cataluña,2020-05-20,1.44,1.07,1.81
Cataluña,2020-05-21,1.44,1.08,1.78
Cataluña,2020-05-22,1.53,1.21,1.87
Cataluña,2020-05-23,1.62,1.32,1.93
Cataluña,2020-05-24,1.68,1.4000000000000001,1.96
Ceuta,2020-03-09,2.0,0.34,6.43
Ceuta,2020-03-10,1.8800000000000001,0.38,5.01
Ceuta,2020-03-11,2.17,0.51,4.99
Ceuta,2020-03-12,1.96,0.5,4.24
Ceuta,2020-03-13,2.08,0.58,4.09
Ceuta,2020-03-14,1.8900000000000001,0.54,3.62
Ceuta,2020-03-15,1.93,0.64,3.54
Ceuta,2020-03-16,2.09,0.36,3.6
Ceuta,2020-03-17,2.68,1.25,4.04
Ceuta,2020-03-18,2.62,1.47,3.75
Ceuta,2020-03-19,2.5100000000000002,1.54,3.42
Ceuta,2020-03-20,2.14,1.3,2.93
Ceuta,2020-03-21,2.2800000000000002,1.57,2.96
Ceuta,2020-03-22,2.23,1.61,2.8000000000000003
Ceuta,2020-03-23,2.13,1.62,2.66
Ceuta,2020-03-24,2.07,1.6300000000000001,2.54
Ceuta,2020-03-25,1.94,1.55,2.36
Ceuta,2020-03-26,1.77,1.4000000000000001,2.13
Ceuta,2020-03-27,1.7,1.36,2.0300000000000002
Ceuta,2020-03-28,1.62,1.31,1.93
Ceuta,2020-03-29,1.58,1.3,1.8800000000000001
Ceuta,2020-03-30,1.49,1.23,1.78
Ceuta,2020-03-31,1.34,1.08,1.6
Ceuta,2020-04-01,1.26,1.02,1.53
Ceuta,2020-04-02,1.25,1.0,1.49
Ceuta,2020-04-03,1.21,0.97,1.45
Ceuta,2020-04-04,1.09,0.86,1.33
Ceuta,2020-04-05,0.97,0.73,1.2
Ceuta,2020-04-06,0.9500000000000001,0.72,1.2
Ceuta,2020-04-07,0.9500000000000001,0.71,1.19
Ceuta,2020-04-08,0.91,0.68,1.17
Ceuta,2020-04-09,0.87,0.62,1.11
Ceuta,2020-04-10,0.86,0.61,1.11
Ceuta,2020-04-11,0.86,0.61,1.12
Ceuta,2020-04-12,0.98,0.73,1.24
Ceuta,2020-04-13,0.9500000000000001,0.7000000000000001,1.22
Ceuta,2020-04-14,0.98,0.73,1.25
Ceuta,2020-04-15,1.03,0.77,1.28
Ceuta,2020-04-16,1.03,0.77,1.28
Ceuta,2020-04-17,0.99,0.73,1.24
Ceuta,2020-04-18,1.04,0.79,1.3
Ceuta,2020-04-19,0.89,0.64,1.16
Ceuta,2020-04-20,0.86,0.61,1.1400000000000001
Ceuta,2020-04-21,0.79,0.52,1.06
Ceuta,2020-04-22,0.73,0.46,1.02
Ceuta,2020-04-23,0.75,0.47000000000000003,1.05
Ceuta,2020-04-24,0.81,0.52,1.11
Ceuta,2020-04-25,0.77,0.48,1.09
Ceuta,2020-04-26,0.89,0.6,1.22
Ceuta,2020-04-27,0.93,0.63,1.25
Ceuta,2020-04-28,1.02,0.72,1.34
Ceuta,2020-04-29,1.02,0.72,1.34
Ceuta,2020-04-30,0.98,0.68,1.3
Ceuta,2020-05-01,0.86,0.55,1.18
Ceuta,2020-05-02,0.8200000000000001,0.5,1.1400000000000001
Ceuta,2020-05-03,0.78,0.46,1.12
Ceuta,2020-05-04,0.76,0.43,1.11
Ceuta,2020-05-05,0.71,0.37,1.08
Ceuta,2020-05-06,0.68,0.3,1.03
Ceuta,2020-05-07,0.67,0.3,1.07
Ceuta,2020-05-08,0.74,0.34,1.1300000000000001
Ceuta,2020-05-09,0.8200000000000001,0.43,1.24
Ceuta,2020-05-10,0.86,0.45,1.27
Ceuta,2020-05-11,1.0,0.58,1.4000000000000001
Ceuta,2020-05-12,1.01,0.6,1.42
Ceuta,2020-05-13,1.08,0.68,1.5
Ceuta,2020-05-14,1.11,0.7000000000000001,1.5
Ceuta,2020-05-15,1.1,0.7000000000000001,1.49
Ceuta,2020-05-16,1.02,0.63,1.42
Ceuta,2020-05-17,0.96,0.5700000000000001,1.37
Ceuta,2020-05-18,0.67,0.27,1.1
Ceuta,2020-05-19,1.45,1.05,1.83
Ceuta,2020-05-20,1.44,1.07,1.81
Ceuta,2020-05-21,1.44,1.08,1.78
Ceuta,2020-05-22,1.53,1.21,1.87
Ceuta,2020-05-23,1.62,1.32,1.93
Ceuta,2020-05-24,1.68,1.4000000000000001,1.96
Extremadura,2020-03-09,2.0,0.34,6.43
Extremadura,2020-03-10,1.8800000000000001,0.38,5.01
Extremadura,2020-03-11,2.17,0.51,4.99
Extremadura,2020-03-12,1.96,0.5,4.24
Extremadura,2020-03-13,2.08,0.58,4.09
Extremadura,2020-03-14,1.8900000000000001,0.54,3.62
Extremadura,2020-03-15,1.93,0.64,3.54
Extremadura,2020-03-16,2.09,0.36,3.6
Extremadura,2020-03-17,2.68,1.25,4.04
Extremadura,2020-03-18,2.62,1.47,3.75
Extremadura,2020-03-19,2.5100000000000002,1.54,3.42
Extremadura,2020-03-20,2.14,1.3,2.93
Extremadura,2020-03-21,2.2800000000000002,1.57,2.96
Extremadura,2020-03-22,2.23,1.61,2.8000000000000003
Extremadura,2020-03-23,2.13,1.62,2.66
Extremadura,2020-03-24,2.07,1.6300000000000001,2.54
Extremadura,2020-03-25,1.94,1.55,2.36
Extremadura,2020-03-26,1.77,1.4000000000000001,2.13
Extremadura,2020-03-27,1.7,1.36,2.0300000000000002
Extremadura,2020-03-28,1.62,1.31,1.93
Extremadura,2020-03-29,1.58,1.3,1.8800000000000001
Extremadura,2020-03-30,1.49,1.23,1.78
Extremadura,2020-03-31,1.34,1.08,1.6
Extremadura,2020-04-01,1.26,1.02,1.53
Extremadura,2020-04-02,1.25,1.0,1.49
Extremadura,2020-04-03,1.21,0.97,1.45
Extremadura,2020-04-04,1.09,0.86,1.33
Extremadura,2020-04-05,0.97,0.73,1.2
Extremadura,2020-04-06,0.9500000000000001,0.72,1.2
Extremadura,2020-04-07,0.9500000000000001,0.71,1.19
Extremadura,2020-04-08,0.91,0.68,1.17
Extremadura,2020-04-09,0.87,0.62,1.11
Extremadura,2020-04-10,0.86,0.61,1.11
Extremadura,2020-04-11,0.86,0.61,1.12
Extremadura,2020-04-12,0.98,0.73,1.24
Extremadura,2020-04-13,0.9500000000000001,0.7000000000000001,1.22
Extremadura,2020-04-14,0.98,0.73,1.25
Extremadura,2020-04-15,1.03,0.77,1.28
Extremadura,2020-04-16,1.03,0.77,1.28
Extremadura,2020-04-17,0.99,0.73,1.24
Extremadura,2020-04-18,1.04,0.79,1.3
Extremadura,2020-04-19,0.89,0.64,1.16
Extremadura,2020-04-20,0.86,0.61,1.1400000000000001
Extremadura,2020-04-21,0.79,0.52,1.06
Extremadura,2020-04-22,0.73,0.46,1.02
Extremadura,2020-04-23,0.75,0.47000000000000003,1.05
Extremadura,2020-04-24,0.81,0.52,1.11
Extremadura,2020-04-25,0.77,0.48,1.09
Extremadura,2020-04-26,0.89,0.6,1.22
Extremadura,2020-04-27,0.93,0.63,1.25
Extremadura,2020-04-28,1.02,0.72,1.34
Extremadura,2020-04-29,1.02,0.72,1.34
Extremadura,2020-04-30,0.98,0.68,1.3
Extremadura,2020-05-01,0.86,0.55,1.18
Extremadura,2020-05-02,0.8200000000000001,0.5,1.1400000000000001
Extremadura,2020-05-03,0.78,0.46,1.12
Extremadura,2020-05-04,0.76,0.43,1.11
Extremadura,2020-05-05,0.71,0.37,1.08
Extremadura,2020-05-06,0.68,0.3,1.03
Extremadura,2020-05-07,0.67,0.3,1.07
Extremadura,2020-05-08,0.74,0.34,1.1300000000000001
Extremadura,2020-05-09,0.8200000000000001,0.43,1.24
Extremadura,2020-05-10,0.86,0.45,1.27
Extremadura,2020-05-11,1.0,0.58,1.4000000000000001
Extremadura,2020-05-12,1.01,0.6,1.42
Extremadura,2020-05-13,1.08,0.68,1.5
Extremadura,2020-05-14,1.11,0.7000000000000001,1.5
Extremadura,2020-05-15,1.1,0.7000000000000001,1.49
Extremadura,2020-05-16,1.02,0.63,1.42
Extremadura,2020-05-17,0.96,0.5700000000000001,1.37
Extremadura,2020-05-18,0.67,0.27,1.1
Extremadura,2020-05-19,1.45,1.05,1.83
Extremadura,2020-05-20,1.44,1.07,1.81
Extremadura,2020-05-21,1.44,1.08,1.78
Extremadura,2020-05-22,1.53,1.21,1.87
Extremadura,2020-05-23,1.62,1.32,1.93
Extremadura,2020-05-24,1.68,1.4000000000000001,1.96
Galicia,2020-03-16,2.0,0.34,6.43
Galicia,2020-03-17,1.8800000000000001,0.38,5.01
Galicia,2020-03-18,1.8,0.38,4.45
Galicia,2020-03-19,1.74,0.4,4.13
Galicia,2020-03-20,1.96,0.5,4.24
Galicia,2020-03-21,1.83,0.46,3.79
Galicia,2020-03-22,1.94,0.55,3.75
Galicia,2020-03-23,1.96,0.1,3.65
Galicia,2020-03-24,2.0100000000000002,0.26,3.62
Galicia,2020-03-25,1.8,0.22,3.2600000000000002
Galicia,2020-03-26,1.96,0.48,3.36
Galicia,2020-03-27,1.6600000000000001,0.33,2.93
Galicia,2020-03-28,1.77,0.5,2.94
Galicia,2020-03-29,1.73,0.58,2.83
Galicia,2020-03-30,1.69,0.61,2.68
Galicia,2020-03-31,1.59,0.61,2.54
Galicia,2020-04-01,1.62,0.7000000000000001,2.49
Galicia,2020-04-02,1.44,0.58,2.27
Galicia,2020-04-03,1.48,0.68,2.2800000000000002
Galicia,2020-04-04,1.32,0.54,2.07
Galicia,2020-04-05,1.19,0.43,1.92
Galicia,2020-04-06,1.11,0.38,1.85
Galicia,2020-04-07,1.04,0.31,1.76
Galicia,2020-04-08,0.93,0.19,1.62
Galicia,2020-04-09,0.93,0.19,1.6300000000000001
Galicia,2020-04-10,0.85,0.14,1.57
Galicia,2020-04-11,0.81,0.07,1.49
Galicia,2020-04-12,0.84,0.1,1.56
Galicia,2020-04-13,0.79,0.07,1.52
Galicia,2020-04-14,0.8200000000000001,0.06,1.55
Galicia,2020-04-15,0.81,0.07,1.58
Galicia,2020-04-16,0.8,0.05,1.57
Galicia,2020-04-17,0.79,0.03,1.56
Galicia,2020-04-18,0.89,0.07,1.69
Galicia,2020-04-19,0.89,0.06,1.69
Galicia,2020-04-20,0.89,0.05,1.69
Galicia,2020-04-21,0.88,0.04,1.69
Galicia,2020-04-22,0.88,0.03,1.69
Galicia,2020-04-23,0.81,0.01,1.6300000000000001
Galicia,2020-04-24,0.8,0.0,1.6300000000000001
Galicia,2020-04-25,0.79,0.01,1.6600000000000001
Galicia,2020-04-26,1.8800000000000001,0.93,2.8000000000000003
Galicia,2020-04-27,1.81,0.96,2.65
Galicia,2020-04-28,1.71,0.9500000000000001,2.5
Galicia,2020-04-29,1.67,0.96,2.38
Galicia,2020-04-30,1.57,0.91,2.23
Galicia,2020-05-01,1.45,0.8300000000000001,2.08
Galicia,2020-05-02,1.36,0.75,1.94
Galicia,2020-05-03,0.54,0.0,1.06
Galicia,2020-05-04,0.48,0.0,1.05
Galicia,2020-05-05,0.33,0.0,0.99
Galicia,2020-05-06,0.15,0.0,0.9400000000000001
Galicia,2020-05-07,0.0,0.0,0.92
Galicia,2020-05-08,0.0,0.0,0.92
Galicia,2020-05-09,0.0,0.0,0.96
Galicia,2020-05-10,0.59,0.0,1.86
Galicia,2020-05-11,0.38,0.0,1.8
Galicia,2020-05-12,0.47000000000000003,0.0,1.95
Galicia,2020-05-13,0.15,0.0,1.8900000000000001
Galicia,2020-05-14,0.22,0.0,2.09
Galicia,2020-05-15,0.38,0.0,2.34
Galicia,2020-05-16,0.27,0.0,2.43
Galicia,2020-05-17,0.58,0.0,2.7600000000000002
Galicia,2020-05-18,0.53,0.0,2.84
Galicia,2020-05-19,0.47000000000000003,0.0,2.94
Galicia,2020-05-20,1.0,0.0,3.35
Galicia,2020-05-21,1.0,0.0,3.35
Galicia,2020-05-22,1.0,0.0,3.35
Galicia,2020-05-23,1.0,0.0,3.35
Galicia,2020-05-24,1.53,0.0,3.66
Madrid,2020-03-04,2.0,0.34,6.43
Madrid,2020-03-05,2.35,0.48,5.72
Madrid,2020-03-06,2.43,0.64,4.98
Madrid,2020-03-07,2.08,0.58,4.09
Madrid,2020-03-08,2.09,0.67,3.87
Madrid,2020-03-09,2.5500000000000003,1.06,4.08
Madrid,2020-03-10,2.46,1.19,3.74
Madrid,2020-03-11,2.18,0.9500000000000001,3.35
Madrid,2020-03-12,2.89,1.94,3.84
Madrid,2020-03-13,2.2800000000000002,1.47,3.09
Madrid,2020-03-14,2.52,1.86,3.2
Madrid,2020-03-15,2.19,1.61,2.7600000000000002
Madrid,2020-03-16,2.05,1.54,2.5500000000000003
Madrid,2020-03-17,1.97,1.54,2.44
Madrid,2020-03-18,2.0100000000000002,1.62,2.41
Madrid,2020-03-19,1.79,1.44,2.16
Madrid,2020-03-20,1.8800000000000001,1.56,2.2
Madrid,2020-03-21,1.73,1.45,2.04
Madrid,2020-03-22,1.76,1.5,2.0300000000000002
Madrid,2020-03-23,1.69,1.45,1.94
Madrid,2020-03-24,1.6300000000000001,1.4000000000000001,1.85
Madrid,2020-03-25,1.54,1.33,1.75
Madrid,2020-03-26,1.48,1.29,1.69
Madrid,2020-03-27,1.3800000000000001,1.19,1.57
Madrid,2020-03-28,1.29,1.11,1.48
Madrid,2020-03-29,1.18,1.01,1.37
Madrid,2020-03-30,1.1400000000000001,0.96,1.31
Madrid,2020-03-31,1.08,0.9,1.25
Madrid,2020-04-01,1.0,0.8300000000000001,1.18
Madrid,2020-04-02,0.9400000000000001,0.77,1.12
Madrid,2020-04-03,0.89,0.72,1.08
Madrid,2020-04-04,0.91,0.73,1.09
Madrid,2020-04-05,0.9,0.72,1.09
Madrid,2020-04-06,0.86,0.67,1.04
Madrid,2020-04-07,0.8200000000000001,0.63,1.01
Madrid,2020-04-08,0.8,0.61,1.0
Madrid,2020-04-09,0.81,0.62,1.02
Madrid,2020-04-10,0.8200000000000001,0.62,1.03
Madrid,2020-04-11,0.77,0.5700000000000001,0.99
Madrid,2020-04-12,0.76,0.55,0.98
Madrid,2020-04-13,0.76,0.55,1.0
Madrid,2020-04-14,0.79,0.5700000000000001,1.03
Madrid,2020-04-15,0.84,0.62,1.09
Madrid,2020-04-16,0.81,0.58,1.06
Madrid,2020-04-17,0.81,0.58,1.07
Madrid,2020-04-18,0.8300000000000001,0.59,1.09
Madrid,2020-04-19,0.8300000000000001,0.59,1.1
Madrid,2020-04-20,0.84,0.58,1.1
Madrid,2020-04-21,0.8200000000000001,0.5700000000000001,1.1
Madrid,2020-04-22,0.78,0.51,1.05
Madrid,2020-04-23,0.81,0.54,1.1
Madrid,2020-04-24,0.79,0.5,1.07
Madrid,2020-04-25,0.77,0.48,1.07
Madrid,2020-04-26,0.74,0.44,1.05
Madrid,2020-04-27,0.72,0.42,1.05
Madrid,2020-04-28,0.71,0.38,1.03
Madrid,2020-04-29,0.72,0.39,1.07
Madrid,2020-04-30,0.7000000000000001,0.36,1.06
Madrid,2020-05-01,0.71,0.36,1.09
Madrid,2020-05-02,0.73,0.36,1.11
Madrid,2020-05-03,0.78,0.39,1.16
Madrid,2020-05-04,0.77,0.39,1.19
Madrid,2020-05-05,0.81,0.4,1.21
Madrid,2020-05-06,0.79,0.37,1.2
Madrid,2020-05-07,0.84,0.42,1.27
Madrid,2020-05-08,0.86,0.43,1.3
Madrid,2020-05-09,0.88,0.44,1.32
Madrid,2020-05-10,0.89,0.44,1.33
Madrid,2020-05-11,0.9,0.44,1.34
Madrid,2020-05-12,0.87,0.41000000000000003,1.33
Madrid,2020-05-13,0.85,0.39,1.33
Madrid,2020-05-14,0.77,0.29,1.25
Madrid,2020-05-15,0.72,0.24,1.23
Madrid,2020-05-16,0.68,0.19,1.21
Madrid,2020-05-17,0.64,0.13,1.17
Madrid,2020-05-18,0.66,0.13,1.21
Madrid,2020-05-19,0.63,0.09,1.19
Madrid,2020-05-20,0.67,0.1,1.25
Madrid,2020-05-21,0.75,0.13,1.34
Madrid,2020-05-22,0.81,0.18,1.44
Madrid,2020-05-23,0.8,0.16,1.44
Madrid,2020-05-24,0.8200000000000001,0.17,1.48
Melilla,2020-03-04,2.0,0.34,6.43
Melilla,2020-03-05,2.35,0.48,5.72
Melilla,2020-03-06,2.43,0.64,4.98
Melilla,2020-03-07,2.08,0.58,4.09
Melilla,2020-03-08,2.09,0.67,3.87
Melilla,2020-03-09,2.5500000000000003,1.06,4.08
Melilla,2020-03-10,2.46,1.19,3.74
Melilla,2020-03-11,2.18,0.9500000000000001,3.35
Melilla,2020-03-12,2.89,1.94,3.84
Melilla,2020-03-13,2.2800000000000002,1.47,3.09
Melilla,2020-03-14,2.52,1.86,3.2
Melilla,2020-03-15,2.19,1.61,2.7600000000000002
Melilla,2020-03-16,2.05,1.54,2.5500000000000003
Melilla,2020-03-17,1.97,1.54,2.44
Melilla,2020-03-18,2.0100000000000002,1.62,2.41
Melilla,2020-03-19,1.79,1.44,2.16
Melilla,2020-03-20,1.8800000000000001,1.56,2.2
Melilla,2020-03-21,1.73,1.45,2.04
Melilla,2020-03-22,1.76,1.5,2.0300000000000002
Melilla,2020-03-23,1.69,1.45,1.94
Melilla,2020-03-24,1.6300000000000001,1.4000000000000001,1.85
Melilla,2020-03-25,1.54,1.33,1.75
Melilla,2020-03-26,1.48,1.29,1.69
Melilla,2020-03-27,1.3800000000000001,1.19,1.57
Melilla,2020-03-28,1.29,1.11,1.48
Melilla,2020-03-29,1.18,1.01,1.37
Melilla,2020-03-30,1.1400000000000001,0.96,1.31
Melilla,2020-03-31,1.08,0.9,1.25
Melilla,2020-04-01,1.0,0.8300000000000001,1.18
Melilla,2020-04-02,0.9400000000000001,0.77,1.12
Melilla,2020-04-03,0.89,0.72,1.08
Melilla,2020-04-04,0.91,0.73,1.09
Melilla,2020-04-05,0.9,0.72,1.09
Melilla,2020-04-06,0.86,0.67,1.04
Melilla,2020-04-07,0.8200000000000001,0.63,1.01
Melilla,2020-04-08,0.8,0.61,1.0
Melilla,2020-04-09,0.81,0.62,1.02
Melilla,2020-04-10,0.8200000000000001,0.62,1.03
Melilla,2020-04-11,0.77,0.5700000000000001,0.99
Melilla,2020-04-12,0.76,0.55,0.98
Melilla,2020-04-13,0.76,0.55,1.0
Melilla,2020-04-14,0.79,0.5700000000000001,1.03
Melilla,2020-04-15,0.84,0.62,1.09
Melilla,2020-04-16,0.81,0.58,1.06
Melilla,2020-04-17,0.81,0.58,1.07
Melilla,2020-04-18,0.8300000000000001,0.59,1.09
Melilla,2020-04-19,0.8300000000000001,0.59,1.1
Melilla,2020-04-20,0.84,0.58,1.1
Melilla,2020-04-21,0.8200000000000001,0.5700000000000001,1.1
Melilla,2020-04-22,0.78,0.51,1.05
Melilla,2020-04-23,0.81,0.54,1.1
Melilla,2020-04-24,0.79,0.5,1.07
Melilla,2020-04-25,0.77,0.48,1.07
Melilla,2020-04-26,0.74,0.44,1.05
Melilla,2020-04-27,0.72,0.42,1.05
Melilla,2020-04-28,0.71,0.38,1.03
Melilla,2020-04-29,0.72,0.39,1.07
Melilla,2020-04-30,0.7000000000000001,0.36,1.06
Melilla,2020-05-01,0.71,0.36,1.09
Melilla,2020-05-02,0.73,0.36,1.11
Melilla,2020-05-03,0.78,0.39,1.16
Melilla,2020-05-04,0.77,0.39,1.19
Melilla,2020-05-05,0.81,0.4,1.21
Melilla,2020-05-06,0.79,0.37,1.2
Melilla,2020-05-07,0.84,0.42,1.27
Melilla,2020-05-08,0.86,0.43,1.3
Melilla,2020-05-09,0.88,0.44,1.32
Melilla,2020-05-10,0.89,0.44,1.33
Melilla,2020-05-11,0.9,0.44,1.34
Melilla,2020-05-12,0.87,0.41000000000000003,1.33
Melilla,2020-05-13,0.85,0.39,1.33
Melilla,2020-05-14,0.77,0.29,1.25
Melilla,2020-05-15,0.72,0.24,1.23
Melilla,2020-05-16,0.68,0.19,1.21
Melilla,2020-05-17,0.64,0.13,1.17
Melilla,2020-05-18,0.66,0.13,1.21
Melilla,2020-05-19,0.63,0.09,1.19
Melilla,2020-05-20,0.67,0.1,1.25
Melilla,2020-05-21,0.75,0.13,1.34
Melilla,2020-05-22,0.81,0.18,1.44
Melilla,2020-05-23,0.8,0.16,1.44
Melilla,2020-05-24,0.8200000000000001,0.17,1.48
Murcia,2020-03-04,2.0,0.34,6.43
Murcia,2020-03-05,2.35,0.48,5.72
Murcia,2020-03-06,2.43,0.64,4.98
Murcia,2020-03-07,2.08,0.58,4.09
Murcia,2020-03-08,2.09,0.67,3.87
Murcia,2020-03-09,2.5500000000000003,1.06,4.08
Murcia,2020-03-10,2.46,1.19,3.74
Murcia,2020-03-11,2.18,0.9500000000000001,3.35
Murcia,2020-03-12,2.89,1.94,3.84
Murcia,2020-03-13,2.2800000000000002,1.47,3.09
Murcia,2020-03-14,2.52,1.86,3.2
Murcia,2020-03-15,2.19,1.61,2.7600000000000002
Murcia,2020-03-16,2.05,1.54,2.5500000000000003
Murcia,2020-03-17,1.97,1.54,2.44
Murcia,2020-03-18,2.0100000000000002,1.62,2.41
Murcia,2020-03-19,1.79,1.44,2.16
Murcia,2020-03-20,1.8800000000000001,1.56,2.2
Murcia,2020-03-21,1.73,1.45,2.04
Murcia,2020-03-22,1.76,1.5,2.0300000000000002
Murcia,2020-03-23,1.69,1.45,1.94
Murcia,2020-03-24,1.6300000000000001,1.4000000000000001,1.85
Murcia,2020-03-25,1.54,1.33,1.75
Murcia,2020-03-26,1.48,1.29,1.69
Murcia,2020-03-27,1.3800000000000001,1.19,1.57
Murcia,2020-03-28,1.29,1.11,1.48
Murcia,2020-03-29,1.18,1.01,1.37
Murcia,2020-03-30,1.1400000000000001,0.96,1.31
Murcia,2020-03-31,1.08,0.9,1.25
Murcia,2020-04-01,1.0,0.8300000000000001,1.18
Murcia,2020-04-02,0.9400000000000001,0.77,1.12
Murcia,2020-04-03,0.89,0.72,1.08
Murcia,2020-04-04,0.91,0.73,1.09
Murcia,2020-04-05,0.9,0.72,1.09
Murcia,2020-04-06,0.86,0.67,1.04
Murcia,2020-04-07,0.8200000000000001,0.63,1.01
Murcia,2020-04-08,0.8,0.61,1.0
Murcia,2020-04-09,0.81,0.62,1.02
Murcia,2020-04-10,0.8200000000000001,0.62,1.03
Murcia,2020-04-11,0.77,0.5700000000000001,0.99
Murcia,2020-04-12,0.76,0.55,0.98
Murcia,2020-04-13,0.76,0.55,1.0
Murcia,2020-04-14,0.79,0.5700000000000001,1.03
Murcia,2020-04-15,0.84,0.62,1.09
Murcia,2020-04-16,0.81,0.58,1.06
Murcia,2020-04-17,0.81,0.58,1.07
Murcia,2020-04-18,0.8300000000000001,0.59,1.09
Murcia,2020-04-19,0.8300000000000001,0.59,1.1
Murcia,2020-04-20,0.84,0.58,1.1
Murcia,2020-04-21,0.8200000000000001,0.5700000000000001,1.1
Murcia,2020-04-22,0.78,0.51,1.05
Murcia,2020-04-23,0.81,0.54,1.1
Murcia,2020-04-24,0.79,0.5,1.07
Murcia,2020-04-25,0.77,0.48,1.07
Murcia,2020-04-26,0.74,0.44,1.05
Murcia,2020-04-27,0.72,0.42,1.05
Murcia,2020-04-28,0.71,0.38,1.03
Murcia,2020-04-29,0.72,0.39,1.07
Murcia,2020-04-30,0.7000000000000001,0.36,1.06
Murcia,2020-05-01,0.71,0.36,1.09
Murcia,2020-05-02,0.73,0.36,1.11
Murcia,2020-05-03,0.78,0.39,1.16
Murcia,2020-05-04,0.77,0.39,1.19
Murcia,2020-05-05,0.81,0.4,1.21
Murcia,2020-05-06,0.79,0.37,1.2
Murcia,2020-05-07,0.84,0.42,1.27
Murcia,2020-05-08,0.86,0.43,1.3
Murcia,2020-05-09,0.88,0.44,1.32
Murcia,2020-05-10,0.89,0.44,1.33
