,date,ML,Low,High
Aragón,2020-04-22,0.73,0.12,1.35
Aragón,2020-04-23,0.71,0.1,1.35
Aragón,2020-04-24,0.62,0.01,1.22
Aragón,2020-04-25,0.6900000000000001,0.06,1.36
Aragón,2020-04-26,0.67,0.01,1.31
Aragón,2020-04-27,0.55,0.0,1.24
Aragón,2020-04-28,0.5,0.0,1.24
Aragón,2020-04-29,0.59,0.0,1.36
Aragón,2020-04-30,0.6,0.0,1.41
Aragón,2020-05-01,0.49,0.0,1.37
Aragón,2020-05-02,0.42,0.0,1.3900000000000001
Aragón,2020-05-03,0.67,0.0,1.6300000000000001
Aragón,2020-05-04,1.0,0.03,1.95
Aragón,2020-05-05,1.08,0.06,2.04
Aragón,2020-05-06,1.16,0.14,2.16
Aragón,2020-05-07,1.16,0.14,2.13
Aragón,2020-05-08,1.3,0.26,2.27
Aragón,2020-05-09,1.21,0.23,2.17
Aragón,2020-05-10,0.93,0.03,1.79
Aragón,2020-05-11,0.79,0.01,1.67
Aragón,2020-05-12,0.54,0.0,1.5
Aragón,2020-05-13,0.38,0.0,1.46
Aragón,2020-05-14,0.27,0.0,1.48
Aragón,2020-05-15,0.11,0.0,1.5
Aragón,2020-05-16,0.04,0.0,1.62
Aragón,2020-05-17,0.2,0.0,1.87
Aragón,2020-05-18,0.27,0.0,2.07
Aragón,2020-05-19,1.0,0.0,2.63
Aragón,2020-05-20,1.26,0.0,2.81
Aragón,2020-05-21,1.24,0.0,2.75
Aragón,2020-05-22,1.23,0.0,2.69
Aragón,2020-05-23,1.22,0.0,2.64
Aragón,2020-05-24,1.21,0.01,2.61
Asturias,2020-03-18,2.0,0.34,6.43
Asturias,2020-03-19,1.8800000000000001,0.38,5.01
Asturias,2020-03-20,2.65,0.68,5.5600000000000005
Asturias,2020-03-21,2.17,0.61,4.33
Asturias,2020-03-22,2.16,0.68,4.01
Asturias,2020-03-23,1.93,0.64,3.54
Asturias,2020-03-24,1.92,0.6900000000000001,3.37
Asturias,2020-03-25,1.7,0.21,3.0700000000000003
Asturias,2020-03-26,1.59,0.19,2.86
Asturias,2020-03-27,1.27,0.05,2.43
Asturias,2020-03-28,1.37,0.15,2.56
Asturias,2020-03-29,1.34,0.16,2.49
Asturias,2020-03-30,1.31,0.17,2.43
Asturias,2020-03-31,1.1,0.06,2.14
Asturias,2020-04-01,1.1,0.04,2.1
Asturias,2020-04-02,1.09,0.06,2.11
Asturias,2020-04-03,1.0,0.0,1.96
Asturias,2020-04-04,0.91,0.0,1.8900000000000001
Asturias,2020-04-05,0.8,0.0,1.83
Asturias,2020-04-06,0.79,0.0,1.84
Asturias,2020-04-07,1.1,0.04,2.15
Asturias,2020-04-08,1.1,0.03,2.12
Asturias,2020-04-09,1.29,0.19,2.39
Asturias,2020-04-10,1.36,0.26,2.43
Asturias,2020-04-11,1.33,0.24,2.33
Asturias,2020-04-12,1.3,0.28,2.31
Asturias,2020-04-13,1.28,0.29,2.2600000000000002
Asturias,2020-04-14,1.07,0.13,1.98
Asturias,2020-04-15,1.07,0.13,1.97
Asturias,2020-04-16,0.87,0.03,1.73
Asturias,2020-04-17,0.79,0.0,1.6500000000000001
Asturias,2020-04-18,0.7000000000000001,0.0,1.61
Asturias,2020-04-19,0.76,0.0,1.69
Asturias,2020-04-20,0.75,0.0,1.71
Asturias,2020-04-21,0.8200000000000001,0.0,1.79
Asturias,2020-04-22,0.81,0.0,1.81
Asturias,2020-04-23,1.0,0.03,2.0100000000000002
Asturias,2020-04-24,1.09,0.06,2.11
Asturias,2020-04-25,1.18,0.09,2.18
Asturias,2020-04-26,1.09,0.07,2.08
Asturias,2020-04-27,1.0,0.02,1.95
Asturias,2020-04-28,0.91,0.0,1.86
Asturias,2020-04-29,0.91,0.0,1.87
Asturias,2020-04-30,0.72,0.0,1.74
Asturias,2020-05-01,0.7000000000000001,0.0,1.76
Asturias,2020-05-02,0.56,0.0,1.71
Asturias,2020-05-03,0.5,0.0,1.74
Asturias,2020-05-04,0.43,0.0,1.78
Asturias,2020-05-05,0.51,0.0,1.92
Asturias,2020-05-06,0.24,0.0,1.86
Asturias,2020-05-07,0.56,0.0,2.18
Asturias,2020-05-08,0.5,0.0,2.23
Asturias,2020-05-09,0.72,0.0,2.46
Asturias,2020-05-10,0.7000000000000001,0.0,2.5100000000000002
Asturias,2020-05-11,1.0,0.0,2.75
Asturias,2020-05-12,1.3,0.0,2.94
Asturias,2020-05-13,1.53,0.0,3.0500000000000003
Asturias,2020-05-14,1.0,0.0,2.58
Asturias,2020-05-15,1.0,0.0,2.58
Asturias,2020-05-16,1.0,0.0,2.58
Asturias,2020-05-17,1.0,0.0,2.58
Asturias,2020-05-18,1.0,0.0,2.58
Asturias,2020-05-19,0.47000000000000003,0.0,2.27
Asturias,2020-05-20,0.38,0.0,2.34
Asturias,2020-05-21,0.65,0.0,2.62
Asturias,2020-05-22,0.62,0.0,2.69
Asturias,2020-05-23,0.58,0.0,2.7600000000000002
Asturias,2020-05-24,0.53,0.0,2.84
Baleares,2020-03-18,2.0,0.34,6.43
Baleares,2020-03-19,1.8800000000000001,0.38,5.01
Baleares,2020-03-20,2.65,0.68,5.5600000000000005
Baleares,2020-03-21,2.17,0.61,4.33
Baleares,2020-03-22,2.16,0.68,4.01
Baleares,2020-03-23,1.93,0.64,3.54
Baleares,2020-03-24,1.92,0.6900000000000001,3.37
Baleares,2020-03-25,1.7,0.21,3.0700000000000003
Baleares,2020-03-26,1.59,0.19,2.86
Baleares,2020-03-27,1.27,0.05,2.43
Baleares,2020-03-28,1.37,0.15,2.56
Baleares,2020-03-29,1.34,0.16,2.49
Baleares,2020-03-30,1.31,0.17,2.43
Baleares,2020-03-31,1.1,0.06,2.14
Baleares,2020-04-01,1.1,0.04,2.1
Baleares,2020-04-02,1.09,0.06,2.11
Baleares,2020-04-03,1.0,0.0,1.96
Baleares,2020-04-04,0.91,0.0,1.8900000000000001
Baleares,2020-04-05,0.8,0.0,1.83
Baleares,2020-04-06,0.79,0.0,1.84
Baleares,2020-04-07,1.1,0.04,2.15
Baleares,2020-04-08,1.1,0.03,2.12
Baleares,2020-04-09,1.29,0.19,2.39
Baleares,2020-04-10,1.36,0.26,2.43
Baleares,2020-04-11,1.33,0.24,2.33
Baleares,2020-04-12,1.3,0.28,2.31
Baleares,2020-04-13,1.28,0.29,2.2600000000000002
Baleares,2020-04-14,1.07,0.13,1.98
Baleares,2020-04-15,1.07,0.13,1.97
Baleares,2020-04-16,0.87,0.03,1.73
Baleares,2020-04-17,0.79,0.0,1.6500000000000001
Baleares,2020-04-18,0.7000000000000001,0.0,1.61
Baleares,2020-04-19,0.76,0.0,1.69
Baleares,2020-04-20,0.75,0.0,1.71
Baleares,2020-04-21,0.8200000000000001,0.0,1.79
Baleares,2020-04-22,0.81,0.0,1.81
Baleares,2020-04-23,1.0,0.03,2.0100000000000002
Baleares,2020-04-24,1.09,0.06,2.11
Baleares,2020-04-25,1.18,0.09,2.18
Baleares,2020-04-26,1.09,0.07,2.08
Baleares,2020-04-27,1.0,0.02,1.95
Baleares,2020-04-28,0.91,0.0,1.86
Baleares,2020-04-29,0.91,0.0,1.87
Baleares,2020-04-30,0.72,0.0,1.74
Baleares,2020-05-01,0.7000000000000001,0.0,1.76
Baleares,2020-05-02,0.56,0.0,1.71
Baleares,2020-05-03,0.5,0.0,1.74
Baleares,2020-05-04,0.43,0.0,1.78
Baleares,2020-05-05,0.51,0.0,1.92
Baleares,2020-05-06,0.24,0.0,1.86
Baleares,2020-05-07,0.56,0.0,2.18
Baleares,2020-05-08,0.5,0.0,2.23
Baleares,2020-05-09,0.72,0.0,2.46
Baleares,2020-05-10,0.7000000000000001,0.0,2.5100000000000002
Baleares,2020-05-11,1.0,0.0,2.75
Baleares,2020-05-12,1.3,0.0,2.94
Baleares,2020-05-13,1.53,0.0,3.0500000000000003
Baleares,2020-05-14,1.0,0.0,2.58
Baleares,2020-05-15,1.0,0.0,2.58
Baleares,2020-05-16,1.0,0.0,2.58
Baleares,2020-05-17,1.0,0.0,2.58
Baleares,2020-05-18,1.0,0.0,2.58
Baleares,2020-05-19,0.47000000000000003,0.0,2.27
Baleares,2020-05-20,0.38,0.0,2.34
Baleares,2020-05-21,0.65,0.0,2.62
Baleares,2020-05-22,0.62,0.0,2.69
Baleares,2020-05-23,0.58,0.0,2.7600000000000002
Baleares,2020-05-24,0.53,0.0,2.84
C. Valenciana,2020-03-12,2.0,0.34,6.43
C. Valenciana,2020-03-13,1.8800000000000001,0.38,5.01
C. Valenciana,2020-03-14,2.17,0.51,4.99
C. Valenciana,2020-03-15,2.2800000000000002,0.61,4.59
C. Valenciana,2020-03-16,2.0,0.56,3.9
C. Valenciana,2020-03-17,2.23,0.75,3.92
C. Valenciana,2020-03-18,2.2600000000000002,0.87,3.7
C. Valenciana,2020-03-19,2.24,0.76,3.61
C. Valenciana,2020-03-20,2.35,1.09,3.52
C. Valenciana,2020-03-21,2.08,0.97,3.09
C. Valenciana,2020-03-22,1.9100000000000001,0.9500000000000001,2.85
C. Valenciana,2020-03-23,1.93,1.08,2.77
C. Valenciana,2020-03-24,1.79,1.02,2.5500000000000003
C. Valenciana,2020-03-25,1.6600000000000001,0.96,2.37
C. Valenciana,2020-03-26,1.57,0.9,2.21
C. Valenciana,2020-03-27,1.47,0.86,2.1
C. Valenciana,2020-03-28,1.4000000000000001,0.8200000000000001,2.0
C. Valenciana,2020-03-29,1.4000000000000001,0.85,1.97
C. Valenciana,2020-03-30,1.35,0.81,1.8800000000000001
C. Valenciana,2020-03-31,1.35,0.85,1.8800000000000001
C. Valenciana,2020-04-01,1.36,0.87,1.85
C. Valenciana,2020-04-02,1.33,0.86,1.8
C. Valenciana,2020-04-03,1.24,0.79,1.71
C. Valenciana,2020-04-04,1.21,0.77,1.6600000000000001
C. Valenciana,2020-04-05,1.1400000000000001,0.71,1.59
C. Valenciana,2020-04-06,1.09,0.66,1.53
C. Valenciana,2020-04-07,0.9500000000000001,0.52,1.3900000000000001
C. Valenciana,2020-04-08,0.85,0.41000000000000003,1.3
C. Valenciana,2020-04-09,0.78,0.32,1.23
C. Valenciana,2020-04-10,0.81,0.33,1.26
C. Valenciana,2020-04-11,0.78,0.31,1.27
C. Valenciana,2020-04-12,0.75,0.26,1.24
C. Valenciana,2020-04-13,0.72,0.22,1.23
C. Valenciana,2020-04-14,0.81,0.28,1.32
C. Valenciana,2020-04-15,0.93,0.41000000000000003,1.47
C. Valenciana,2020-04-16,0.98,0.45,1.51
C. Valenciana,2020-04-17,0.91,0.37,1.44
C. Valenciana,2020-04-18,0.87,0.33,1.42
C. Valenciana,2020-04-19,0.84,0.3,1.41
C. Valenciana,2020-04-20,0.86,0.31,1.44
C. Valenciana,2020-04-21,0.8300000000000001,0.25,1.3900000000000001
C. Valenciana,2020-04-22,0.6900000000000001,0.13,1.27
C. Valenciana,2020-04-23,0.63,0.07,1.21
C. Valenciana,2020-04-24,0.65,0.05,1.23
C. Valenciana,2020-04-25,0.71,0.09,1.34
C. Valenciana,2020-04-26,0.78,0.11,1.42
C. Valenciana,2020-04-27,0.8,0.14,1.49
C. Valenciana,2020-04-28,0.76,0.1,1.45
C. Valenciana,2020-04-29,0.78,0.08,1.46
C. Valenciana,2020-04-30,0.77,0.08,1.48
C. Valenciana,2020-05-01,0.84,0.1,1.56
C. Valenciana,2020-05-02,0.79,0.07,1.52
C. Valenciana,2020-05-03,0.73,0.03,1.46
C. Valenciana,2020-05-04,0.66,0.0,1.3900000000000001
C. Valenciana,2020-05-05,0.74,0.01,1.5
C. Valenciana,2020-05-06,0.78,0.02,1.57
C. Valenciana,2020-05-07,0.88,0.04,1.69
C. Valenciana,2020-05-08,0.8200000000000001,0.0,1.61
C. Valenciana,2020-05-09,0.81,0.02,1.6500000000000001
C. Valenciana,2020-05-10,0.8,0.01,1.6500000000000001
C. Valenciana,2020-05-11,0.86,0.02,1.73
C. Valenciana,2020-05-12,0.86,0.01,1.73
C. Valenciana,2020-05-13,0.93,0.03,1.82
C. Valenciana,2020-05-14,0.77,0.01,1.69
C. Valenciana,2020-05-15,0.76,0.0,1.69
C. Valenciana,2020-05-16,0.8300000000000001,0.01,1.79
C. Valenciana,2020-05-17,0.8200000000000001,0.0,1.79
C. Valenciana,2020-05-18,0.81,0.0,1.81
C. Valenciana,2020-05-19,0.7000000000000001,0.0,1.75
C. Valenciana,2020-05-20,0.68,0.0,1.78
C. Valenciana,2020-05-21,0.77,0.0,1.8900000000000001
C. Valenciana,2020-05-22,0.76,0.0,1.9100000000000001
C. Valenciana,2020-05-23,0.61,0.0,1.84
C. Valenciana,2020-05-24,0.86,0.0,2.07
Canarias,2020-05-24,2.0,0.34,6.43
Cantabria,2020-05-24,2.0,0.34,6.43
Castilla La Mancha,2020-03-10,2.0,0.34,6.43
Castilla La Mancha,2020-03-11,1.8800000000000001,0.38,5.01
Castilla La Mancha,2020-03-12,1.8,0.38,4.45
Castilla La Mancha,2020-03-13,2.05,0.5,4.54
Castilla La Mancha,2020-03-14,2.17,0.61,4.33
Castilla La Mancha,2020-03-15,2.16,0.68,4.01
Castilla La Mancha,2020-03-16,2.2800000000000002,0.8200000000000001,3.85
Castilla La Mancha,2020-03-17,1.8,0.22,3.2600000000000002
Castilla La Mancha,2020-03-18,2.5,1.04,3.8200000000000003
Castilla La Mancha,2020-03-19,2.36,1.16,3.5100000000000002
Castilla La Mancha,2020-03-20,2.22,1.2,3.22
Castilla La Mancha,2020-03-21,2.37,1.52,3.22
Castilla La Mancha,2020-03-22,2.2,1.45,2.91
Castilla La Mancha,2020-03-23,2.0300000000000002,1.3900000000000001,2.68
Castilla La Mancha,2020-03-24,1.99,1.43,2.57
Castilla La Mancha,2020-03-25,1.77,1.25,2.2800000000000002
Castilla La Mancha,2020-03-26,1.74,1.26,2.2
Castilla La Mancha,2020-03-27,1.6600000000000001,1.23,2.1
Castilla La Mancha,2020-03-28,1.49,1.09,1.9100000000000001
Castilla La Mancha,2020-03-29,1.41,1.03,1.81
Castilla La Mancha,2020-03-30,1.34,0.97,1.71
Castilla La Mancha,2020-03-31,1.27,0.92,1.6400000000000001
Castilla La Mancha,2020-04-01,1.2,0.85,1.55
Castilla La Mancha,2020-04-02,1.1,0.76,1.45
Castilla La Mancha,2020-04-03,1.04,0.7000000000000001,1.3900000000000001
Castilla La Mancha,2020-04-04,0.97,0.63,1.32
Castilla La Mancha,2020-04-05,0.96,0.63,1.33
Castilla La Mancha,2020-04-06,0.92,0.5700000000000001,1.27
Castilla La Mancha,2020-04-07,0.9500000000000001,0.61,1.32
Castilla La Mancha,2020-04-08,0.9500000000000001,0.6,1.31
Castilla La Mancha,2020-04-09,0.97,0.61,1.32
Castilla La Mancha,2020-04-10,0.98,0.64,1.36
Castilla La Mancha,2020-04-11,1.07,0.73,1.44
Castilla La Mancha,2020-04-12,1.02,0.68,1.3900000000000001
Castilla La Mancha,2020-04-13,1.01,0.67,1.3800000000000001
Castilla La Mancha,2020-04-14,0.9,0.54,1.25
Castilla La Mancha,2020-04-15,0.92,0.56,1.28
Castilla La Mancha,2020-04-16,0.91,0.55,1.28
Castilla La Mancha,2020-04-17,0.87,0.5,1.24
Castilla La Mancha,2020-04-18,0.78,0.4,1.16
Castilla La Mancha,2020-04-19,0.84,0.46,1.24
Castilla La Mancha,2020-04-20,0.88,0.49,1.28
Castilla La Mancha,2020-04-21,0.96,0.56,1.35
Castilla La Mancha,2020-04-22,0.9400000000000001,0.55,1.35
Castilla La Mancha,2020-04-23,0.9400000000000001,0.55,1.36
Castilla La Mancha,2020-04-24,0.93,0.52,1.33
Castilla La Mancha,2020-04-25,0.9400000000000001,0.53,1.35
Castilla La Mancha,2020-04-26,0.86,0.44,1.27
Castilla La Mancha,2020-04-27,0.81,0.37,1.22
Castilla La Mancha,2020-04-28,0.73,0.3,1.18
Castilla La Mancha,2020-04-29,0.73,0.28,1.19
Castilla La Mancha,2020-04-30,0.74,0.27,1.21
Castilla La Mancha,2020-05-01,0.75,0.27,1.24
Castilla La Mancha,2020-05-02,0.76,0.28,1.28
Castilla La Mancha,2020-05-03,0.8,0.29,1.31
Castilla La Mancha,2020-05-04,0.84,0.31,1.35
Castilla La Mancha,2020-05-05,0.91,0.39,1.45
Castilla La Mancha,2020-05-06,0.91,0.38,1.45
Castilla La Mancha,2020-05-07,0.89,0.34,1.42
Castilla La Mancha,2020-05-08,0.92,0.39,1.49
Castilla La Mancha,2020-05-09,0.9400000000000001,0.38,1.48
Castilla La Mancha,2020-05-10,0.9400000000000001,0.39,1.5
Castilla La Mancha,2020-05-11,0.9,0.33,1.45
Castilla La Mancha,2020-05-12,0.85,0.29,1.43
Castilla La Mancha,2020-05-13,0.8300000000000001,0.26,1.42
Castilla La Mancha,2020-05-14,0.79,0.22,1.4000000000000001
Castilla La Mancha,2020-05-15,0.71,0.13,1.31
Castilla La Mancha,2020-05-16,0.6,0.02,1.16
Castilla La Mancha,2020-05-17,0.53,0.0,1.11
Castilla La Mancha,2020-05-18,0.47000000000000003,0.0,1.1
Castilla La Mancha,2020-05-19,0.42,0.0,1.12
Castilla La Mancha,2020-05-20,0.38,0.0,1.1400000000000001
Castilla La Mancha,2020-05-21,0.38,0.0,1.2
Castilla La Mancha,2020-05-22,0.46,0.0,1.33
Castilla La Mancha,2020-05-23,0.66,0.0,1.53
Castilla La Mancha,2020-05-24,0.71,0.0,1.6
